fclk (Hz);fpwn (Hz);;n𝛿 ;𝛿;MAXCNT;;DIVISOR;;REGISTER;;tpwn;;ton;;toff;;ftriangle;VH;VL
;calculated;real;;;decimale;binario;decimale;binario;decimale;binario;calculated;real;calculated;real;calculated;real;;;
50000000;10000;;12;20%;10;1010;454;11101;3;11;0,0001;;0,00002;;0,00008;;454,5454545;;
50000000;10000;;12;50%;10;1010;454;11101;6;110;0,0001;;0,00005;;0,00005;;454,5454545;;
50000000;10000;;12;80%;10;1010;454;11101;9;1001;0,0001;;0,00008;;0,00002;;454,5454545;;
50000000;10000;;100;20%;98;1100010;50;110010;20;10100;0,0001;;0,00002;;0,00008;;50,50505051;;
50000000;10000;;100;50%;98;1100010;50;110010;50;110010;0,0001;;0,00005;;0,00005;;50,50505051;;
50000000;10000;;100;80%;98;1100010;50;110010;80;1010000;0,0001;;0,00008;;0,00002;;50,50505051;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
